Time	EEG_Fp1	EEG_Fp2	PPG
오후 1:49:26.165 	0.000059	0.000047	0.000912
오후 1:49:26.167 	0.000084	0.000085	0.000912
오후 1:49:26.167 	0.000109	0.000096	0.000912
오후 1:49:26.169 	0.000094	0.000087	0.000912
오후 1:49:26.169 	0.000053	0.000042	0.000912
오후 1:49:26.171 	0.000072	0.000057	0.000912
오후 1:49:26.171 	0.000075	0.000055	0.000912
오후 1:49:26.194 	0.000073	0.000058	0.000912
오후 1:49:26.194 	0.000066	0.000040	0.000912
오후 1:49:26.195 	0.000038	0.000024	0.000912
오후 1:49:26.195 	0.000056	0.000039	0.000912
오후 1:49:26.198 	0.000079	0.000054	0.000912
오후 1:49:26.198 	0.000036	0.000027	0.000912
오후 1:49:26.200 	0.000035	0.000017	0.000912
오후 1:49:26.200 	0.000040	0.000031	0.000912
오후 1:49:26.203 	0.000068	0.000050	0.000912
오후 1:49:26.203 	0.000045	0.000037	0.000912
오후 1:49:26.221 	0.000054	0.000028	0.000912
오후 1:49:26.221 	0.000082	0.000058	0.000912
오후 1:49:26.224 	0.000064	0.000038	0.000912
오후 1:49:26.224 	0.000058	0.000039	0.000912
오후 1:49:26.230 	0.000046	0.000034	0.000912
오후 1:49:26.230 	0.000065	0.000048	0.000912
오후 1:49:26.253 	0.000083	0.000064	0.000912
오후 1:49:26.253 	0.000055	0.000040	0.000912
오후 1:49:26.255 	0.000046	0.000026	0.000912
오후 1:49:26.255 	0.000040	0.000025	0.000912
오후 1:49:26.257 	0.000075	0.000063	0.000912
오후 1:49:26.257 	0.000052	0.000043	0.000912
오후 1:49:26.260 	0.000048	0.000039	0.000912
오후 1:49:26.260 	0.000034	0.000020	0.000912
오후 1:49:26.262 	0.000038	0.000026	0.000912
오후 1:49:26.262 	0.000064	0.000047	0.000912
오후 1:49:26.287 	0.000023	-0.000008	0.000912
오후 1:49:26.287 	0.000031	0.000013	0.000912
오후 1:49:26.289 	0.000043	0.000028	0.000912
오후 1:49:26.289 	0.000044	0.000024	0.000912
오후 1:49:26.293 	0.000055	0.000034	0.000912
오후 1:49:26.293 	0.000020	0.000004	0.000912
오후 1:49:26.295 	-0.000021	-0.000024	0.000912
오후 1:49:26.295 	0.000008	0.000015	0.000912
오후 1:49:26.297 	0.000051	0.000025	0.000912
오후 1:49:26.297 	0.000056	0.000036	0.000912
오후 1:49:26.319 	0.000059	0.000040	0.000912
오후 1:49:26.319 	0.000097	0.000063	0.000912
오후 1:49:26.321 	0.000116	0.000063	0.000912
오후 1:49:26.321 	0.000067	0.000014	0.000912
오후 1:49:26.323 	0.000048	0.000005	0.000912
오후 1:49:26.323 	0.000060	0.000009	0.000912
오후 1:49:26.326 	0.000067	0.000021	0.000912
오후 1:49:26.326 	0.000032	0.000002	0.000912
오후 1:49:26.328 	0.000052	0.000010	0.000912
오후 1:49:26.328 	0.000016	-0.000042	0.000912
오후 1:49:26.354 	0.000034	-0.000030	0.000912
오후 1:49:26.354 	0.000025	-0.000024	0.000912
오후 1:49:26.356 	0.000026	-0.000007	0.000912
오후 1:49:26.356 	0.000026	-0.000027	0.000912
오후 1:49:26.358 	0.000039	0.000001	0.000912
오후 1:49:26.358 	0.000007	-0.000039	0.000912
오후 1:49:26.361 	0.000031	-0.000020	0.000912
오후 1:49:26.361 	0.000009	-0.000043	0.000912
오후 1:49:26.399 	0.000017	-0.000034	0.000912
오후 1:49:26.399 	0.000032	-0.000008	0.000912
오후 1:49:26.401 	0.000027	-0.000031	0.000912
오후 1:49:26.401 	0.000051	-0.000026	0.000912
오후 1:49:26.453 	0.000075	0.000010	0.000912
오후 1:49:26.453 	0.000042	-0.000013	0.000912
오후 1:49:26.531 	0.000031	-0.000030	0.000912
오후 1:49:26.531 	0.000032	-0.000029	0.000912
오후 1:49:26.536 	0.000032	-0.000023	0.000912
오후 1:49:26.536 	0.000017	-0.000046	0.000912
오후 1:49:26.541 	0.000042	-0.000020	0.000912
오후 1:49:26.541 	0.000037	-0.000040	0.000912
오후 1:49:26.582 	0.000022	-0.000032	0.000912
오후 1:49:26.582 	0.000036	-0.000015	0.000912
오후 1:49:26.587 	0.000024	-0.000023	0.000912
오후 1:49:26.587 	0.000040	-0.000024	0.000912
오후 1:49:26.591 	0.000026	-0.000041	0.000912
오후 1:49:26.591 	0.000044	-0.000022	0.000912
오후 1:49:26.632 	0.000074	0.000004	0.000912
오후 1:49:26.632 	0.000063	-0.000009	0.000912
오후 1:49:26.636 	0.000016	-0.000052	0.000912
오후 1:49:26.636 	0.000053	0.000001	0.000912
오후 1:49:26.639 	0.000015	-0.000049	0.000912
오후 1:49:26.639 	0.000060	0.000000	0.000912
오후 1:49:26.676 	0.000060	0.000003	0.000912
오후 1:49:26.676 	0.000043	-0.000017	0.000912
오후 1:49:26.681 	0.000036	-0.000013	0.000912
오후 1:49:26.681 	0.000016	-0.000040	0.000912
오후 1:49:26.685 	0.000021	-0.000042	0.000912
오후 1:49:26.685 	0.000030	-0.000032	0.000912
오후 1:49:26.731 	0.000033	-0.000024	0.000912
오후 1:49:26.731 	0.000044	-0.000010	0.000912
오후 1:49:26.734 	0.000027	-0.000033	0.000912
오후 1:49:26.734 	0.000045	0.000002	0.000912
